Category,Headline,Author,Date,Description,Image URL,Article Body
national,Nagaland gets its 1st medical college after 60 years of statehood,,2023-10-15T07:22:05.000Z,Nagaland gets its 1st medical college after 60 years of statehood,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697351039354_408.jpg?,"Union Health Minister Mansukh Mandaviya on Monday inaugurated Nagaland Institute of Medical Sciences and Research (NIMSR) in Kohima, making it the state's first medical college after it achieved statehood 60 years ago. ""[NIMSR] will not only fulfil the purpose of imparting medical education but will also address the health issues of the Naga people,"" Mandaviya said."
national,"Miscreants pose as ED officers, loot ₹3.20 cr from house in Delhi",,2023-10-15T06:55:23.000Z,"Miscreants pose as ED officers, loot ₹3.20 cr from house in Delhi",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697350586181_829.jpg?,"A group of people entered a house in Delhi's Baba Haridas Nagar area posing as Enforcement Directorate (ED) officials and looted ₹3.20 crore, the police said. After the incident, a PCR caught a car from Narela and recovered ₹70 lakh, the police added. Meanwhile, one of the accused has been arrested and searches are underway to arrest other accused."
national,I am safe in India: Indian national who returned from Israel,,2023-10-15T06:43:04.000Z,I am safe in India: Indian national who returned from Israel,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697349215435_696.jpg?,"An Indian national, who was rescued from Israel and brought to Delhi on the fourth flight of 'Operation Ajay', hailed the Centre, saying that the government did a ""fabulous job"". He further said, ""While I was sitting in the flight, I realised how safe I am in India. I was safe in Israel too, but India is our country."""
national,"Mobile thief attacks policeman with blade in Delhi, video surfaces",,2023-10-15T06:40:00.000Z,"Mobile thief attacks policeman with blade in Delhi, video surfaces",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697348095018_971.jpg?,"A CCTV video showing a thief attacking a Delhi Police personnel with a blade surfaced on social media. The policeman, who was patrolling the Gandhi Nagar area, chased the thief who was running away after snatching a mobile phone. The policeman used his belt to defend against the thief's attack and later caught him and recovered the mobile phone."
national,Congress releases 1st list of poll candidates for Chhattisgarh,,2023-10-15T06:05:41.000Z,Congress releases 1st list of poll candidates for Chhattisgarh,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697348713293_702.jpg?,"Congress has released its first list of 30 candidates for the Chhattisgarh Assembly elections, which are scheduled to take place in two phases on November 7 and 17. While CM Bhupesh Baghel will contest from Patan seat, Deputy CM TS Singh Deo has been fielded from Ambikapur seat. State Home Minister Tamradhwaj Sahu will contest from the Durg-Rural seat."
national,Congress releases 1st list of poll candidates for MP,,2023-10-15T05:47:03.000Z,Congress releases 1st list of poll candidates for MP,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697347534426_2.jpg?,"Congress has released its first list of 144 candidates for the Madhya Pradesh Assembly elections, which are scheduled to take place on November 17. Former state CM Kamal Nath will contest from the Chhindwara seat, while party MP Digvijaya Singh's son Jaivardhan Singh has been fielded from the Raghogarh seat. Former state minister Jitu Patwari will contest from Rau seat."
national,Congress releases 1st list of candidates for T'gana Assembly polls,,2023-10-15T05:14:13.000Z,Congress releases 1st list of candidates for T'gana Assembly polls,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697345481729_526.jpg?,"The Congress party released its first list of 55 candidates for Telangana Assembly polls on Sunday. According to the list, Congress state president Anumula Revanth Reddy will contest from Kodangal constituency, while Congress spokesperson Pawan Khera's wife and party leader, Dr Kota Neelima will be contesting from Sanathnagar. Bhatti Vikramarka Mallu will contest from Madhira-SC constituency."
national,Used to sirens sound: Indian who returned from Israel,,2023-10-15T04:02:07.000Z,Used to sirens sound: Indian who returned from Israel,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697339840167_101.jpg?,"An Indian passenger who returned to the country on a special flight from war-hit Israel said that she has been living in Israel for the last three years and she is used to the sound of sirens, but this time it is different. ""Foreign nationals are under stress, but the people of Israel are very united,"" she added."
national,12 dead as mini-bus hits container on Maha's Samruddhi Expressway,,2023-10-15T03:54:20.000Z,12 dead as mini-bus hits container on Maha's Samruddhi Expressway,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697341451226_890.jpg?,"At least 12 people, including a minor girl, were killed and 23 others were injured after a speeding mini-bus rammed into a container on Samruddhi Expressway in Maharashtra's Chhatrapati Sambhajinagar on Sunday, police said. The incident occurred after the mini-bus driver lost control of the wheels, according to an official. There were 35 passengers on board the mini-bus, official said."
national,4th flight carrying 274 Indians from Israel lands at Delhi airport,,2023-10-15T03:25:07.000Z,4th flight carrying 274 Indians from Israel lands at Delhi airport,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697339054198_730.jpg?,"The fourth special flight under 'Operation Ajay' with 274 Indians landed in Delhi from war-hit Israel on Sunday. Meanwhile, the third flight carrying 197 Indians also landed in Delhi earlier today. Union Minister Kaushal Kishore welcomed returnees of the third flight. The first flight brought back 212 Indians from Israel, while 235 returned to the country on the second flight."
national,Have to say 'Bharat Mata ki Jai' to live in India: Union Minister,,2023-10-15T03:21:06.000Z,Have to say 'Bharat Mata ki Jai' to live in India: Union Minister,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697338245176_622.jpg?,"Union Minister Kailash Choudhary while addressing a farmers' convention on Saturday, said, ""Bharat me rehna hai, toh 'Bharat Mata ki Jai' bolna hoga (If you want to live in India, you have to say 'Bharat Mata ki Jai')."" He also referred to the ""language used"" by public representatives in Hyderabad and claimed that they should be taught a ""lesson""."
national,Suit gifted by PM Modi touched my heart: Mexican Senate President,,2023-10-14T17:32:48.000Z,Suit gifted by PM Modi touched my heart: Mexican Senate President,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697298262539_158.jpg?,"Mexican Senate President Ana Lilia Rivera said the suit gifted by Prime Minister Narendra Modi touched her heart. Rivera on Friday tied a rakhi to PM Modi. ""We are brothers and sisters forever. This gift given by Modi ji...has brought us closer, and it is a part of me that I'm taking back to Mexico,"" she said."
national,"Girl held captive, ₹12 lakh robbed from her house in Delhi's Chandni Chowk",,2023-10-14T17:30:29.000Z,"Girl held captive, ₹12 lakh robbed from her house in Delhi's Chandni Chowk",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697303721512_603.jpg?,"A lehenga shop owner's daughter was held hostage by four people and ₹12 lakh was robbed from their house in Delhi's Chandni Chowk. The accused threatened the girl, who was alone at the house, and tied tape around her hands, legs and mouth. The accused stole cash from the almirah but left the jewellery."
national,"India, Sri Lanka working to link UPI with LankaPay: PM Modi",,2023-10-14T16:41:27.000Z,"India, Sri Lanka working to link UPI with LankaPay: PM Modi",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697299441436_940.jpg?,"PM Narendra Modi on Saturday said India is working with Sri Lanka to link its Unified Payments Interface (UPI) with the latter's LankaPay. ""India and Sri Lanka collaborate closely in a wide range of areas such as fintech and energy,"" he said. He made the remarks during the launch of the ferry service between India's Nagapattinam and Sri Lanka's Kankesanthurai."
national,"Heavy rainfall warning issued for several states/UTs for Sunday, list released",,2023-10-14T16:27:54.000Z,"Heavy rainfall warning issued for several states/UTs for Sunday, list released",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697300166095_911.jpg?,"IMD has issued heavy rainfall warning for several states for Sunday. Heavy rainfall is very likely at isolated places over Jammu & Kashmir, Ladakh and Himachal Pradesh. IMD also predicted heavy rainfall over Tamil Nadu, Puducherry, Karaikal, Kerala and Mahe. Thunderstorm with lightning at isolated places over Uttarakhand, Punjab, Haryana, Delhi, Uttar Pradesh, Rajasthan is also likely."
national,"Class 11 girl alleges sexual assault by classmate at Noida school, 5 booked",,2023-10-14T15:51:58.000Z,"Class 11 girl alleges sexual assault by classmate at Noida school, 5 booked",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697297144827_44.jpg?,"A Class 11 girl in Noida has alleged that a classmate sexually assaulted her at the school premises. She alleged that she had a fight with a boy, following which he slapped her and later four of his friends also joined in to assault her and one of them touched her inappropriately. The five boys have been booked."
national,Aug 23 to be observed as National Space Day: Govt of India,,2023-10-14T15:37:28.000Z,Aug 23 to be observed as National Space Day: Govt of India,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697295389291_226.jpg?,"The Indian government has notified August 23 as National Space Day, commemorating the date of Chandrayaan-3's successful moon landing. The Department of Space's notification, dated October 13, highlighted significance of August 23 as a milestone in India's space achievements. This would inspire young generations to take interest in STEM fields and boost India's space sector, the notification read."
national,"Free poha, jalebi to be offered to early voters in Madhya Pradesh's Indore",,2023-10-14T14:24:27.000Z,"Free poha, jalebi to be offered to early voters in Madhya Pradesh's Indore",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697291063561_665.jpg?,"Shop owners in Indore's famous '56 Dukan' food hub will offer free poha and jalebi to people who come early to vote for Madhya Pradesh Assembly elections. ""The offer will remain operational only till 9 am on November 17, the day of voting,"" the president of 56 Dukan Traders' Association said. The election will be held in a single phase."
national,"Wearing short skirts, dancing provocatively cannot be termed as obscene acts: Bombay HC",,2023-10-14T14:19:56.000Z,"Wearing short skirts, dancing provocatively cannot be termed as obscene acts: Bombay HC",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697291572731_142.jpg?,"Bombay HC's Nagpur bench quashed an FIR against 5 people for allegedly watching obscene performance. Police had filed an FIR saying 6 women were found dancing in short skirts and the men were showering dummy notes. ""Wearing short skirts, dancing provocatively...can't be termed to be per se obscene acts...In present times it's...common...that women may wear such clothing,"" court said."
national,Army issues statement after row over Agniveer not provided military funeral,,2023-10-14T14:09:56.000Z,Army issues statement after row over Agniveer not provided military funeral,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697289318345_719.jpg?,"Recently enlisted Agniveer Amritpal Singh, aged 21, wasn't provided a guard of honour or military funeral because he died due to a self-inflicted gunshot injury, Army said on Saturday. Singh died while on sentry duty in Jammu and Kashmir on October 11. Singh's father earlier said that an Army Havildar and two jawans had accompanied his body to their home."
national,"Man says Chief Justice didn't use 'I' before his name in oath, fined ₹5 lakh",,2023-10-14T11:19:59.000Z,"Man says Chief Justice didn't use 'I' before his name in oath, fined ₹5 lakh",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697281569156_286.jpg?,"Supreme Court imposed a fine of ₹5 lakh on a man who said in a PIL that the Bombay High Court Chief Justice didn't use ""I"" before his name while taking oath. The court said, ""We're clearly of the view that such frivolous PILs occupy the time and attention of the court."" The bench was headed by CJI DY Chandrachud."
national,"PM Modi writes lyrics for Garba song, video released ahead of Navratri",,2023-10-14T09:01:02.000Z,"PM Modi writes lyrics for Garba song, video released ahead of Navratri",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697272658732_813.jpg?,"A Garba song penned by PM Narendra Modi years ago has been turned into a musical video. He thanked singer Dhvani Bhanushali and composer Tanishk Bagchi and said it brings back many memories. ""I've not written for many years now but I did manage to write a new Garba over...last few days, which I'll share during Navratri,"" PM Modi added."
national,PM Modi shares his 'must visit places' list for Uttarakhand; posts pics of recent visit,,2023-10-14T08:27:57.000Z,PM Modi shares his 'must visit places' list for Uttarakhand; posts pics of recent visit,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697271434089_687.jpg?,"PM Narendra Modi shared pictures from his recent Uttarakhand visit. ""If someone were to ask me- if there is one place you must visit in Uttarakhand which place would it be, I would say...Parvati Kund and Jageshwar Temples in the Kumaon region of the state,"" he wrote. ""Uttarakhand has many well known places worth visiting...This includes...Kedarnath and Badrinath,"" he added."
national,Woman dies by suicide after Telangana civil services exam gets postponed; protests erupt,,2023-10-14T07:55:38.000Z,Woman dies by suicide after Telangana civil services exam gets postponed; protests erupt,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697269427141_746.jpg?,"A 23-year-old woman allegedly died by suicide in Hyderabad after postponement of the Group-2 exam by Telangana State Public Service Commission. Her death sparked protests by a large number of government job aspirants, with several opposition parties criticising the BRS government. The protestors also tried to prevent the police from shifting the woman's body to the hospital."
national,My family was worried: Indian national after returning from Israel,,2023-10-14T05:25:09.000Z,My family was worried: Indian national after returning from Israel,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697258869288_598.jpg?,"An Indian national who returned to Delhi from war-hit Israel said that due to the prevailing situation in Israel, her family was worried. She further said, ""We thank the Indian government for arranging this [evacuation operations]."" Another evacuee said, ""This is very nice and wonderful. We are very happy. Many many thanks to EAM S Jaishankar and Indian government."""
national,Ferry service from TN's Nagapattinam to Sri Lanka flagged off,,2023-10-14T04:26:49.000Z,Ferry service from TN's Nagapattinam to Sri Lanka flagged off,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697255886977_731.jpg?,"Union Minister Sarbananda Sonowal flagged off the ferry service between Tamil Nadu's Nagapattinam and Sri Lanka's Kankesanturai. On the occasion, PM Modi said, ""[It] is an important milestone in strengthening our relations."" The ticket cost for the journey has been set at ₹7,670 per person, however, on October 14, the ticket price will be ₹2,800 per person."
national,2nd flight carrying 235 Indians from Israel lands at Delhi airport,,2023-10-14T03:21:39.000Z,2nd flight carrying 235 Indians from Israel lands at Delhi airport,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697253237888_365.jpg?,"Second flight carrying a total of 235 Indian nationals, including two infants, landed in Delhi from war-hit Israel on Saturday morning under 'Operation Ajay'. A video has also surfaced on social media in which passengers can be heard chanting ""Vande Mataram"". Minister of State for External Affairs Rajkumar Ranjan Singh was seen interacting with the evacuees at the Delhi airport."
national,NHPC expects loss/damage due to Sikkim floods to be worth ₹788 cr,,2023-10-14T03:19:12.000Z,NHPC expects loss/damage due to Sikkim floods to be worth ₹788 cr,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/14_sat/img_1697251937870_466.jpg?,"State-owned hydro power generator NHPC Limited expects that the recent floods in Sikkim, which were caused by a glacial lake outburst, have caused loss/damage worth ₹788 crore to its Teesta-V Power Station. This includes ₹297-crore material damage and ₹491-crore business loss. NHPC further said that the loss/damage is covered by insurance and a formal claim shall be lodged soon."
national,"Husband hugs wife to calm her after fight on railway track, both run over by train in UP",,2023-10-13T17:25:02.000Z,"Husband hugs wife to calm her after fight on railway track, both run over by train in UP",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/13_fri/img_1697216994472_840.jpg?,A 30-year-old man and his wife were run over by a train when he hugged her and was trying to calm her down on railway tracks after a fight in Uttar Pradesh's Varanasi. She had gone to the tracks to take her life due to the man's alcohol addiction and he was trying to stop her. They have three children.
national,"₹42 crore found under bed at Bengaluru ex-corporator's house, pic surfaces",,2023-10-13T16:27:55.000Z,"₹42 crore found under bed at Bengaluru ex-corporator's house, pic surfaces",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/13_fri/img_1697213463068_301.jpg?,The Income Tax Department has found ₹42 crore in cash hidden in 23 cardboard boxes under a bed in a house allegedly belonging to an ex-corporator in Bengaluru. The department has deployed cash counting machines to ascertain the final amount of money. It's being investigated if the money was supposed to be sent to Telangana ahead of assembly polls.
sports,"WWE's Reigns returns & spears Knight, Cena AAs Jimmy on SmackDown",,2023-10-15T09:43:54.000Z,"WWE's Reigns returns & spears Knight, Cena AAs Jimmy on SmackDown",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697359467252_821.jpg?,"World Wrestling Entertainment (WWE) wrestler John Cena delivered Attitude Adjustment (AA) to Jimmy Uso on this week's SmackDown. Jimmy was about to attack LA Knight when Cena attacked him. However, Solo Sikoa delivered Samoan Spike to Cena and Knight hit a BFT to Sikoa to win the match. Roman Reigns, who made his return, delivered a spear to Knight."
sports,Are we qualified for int'l events: Saket on 'Jai Shri Ram' row,,2023-10-15T09:17:49.000Z,Are we qualified for int'l events: Saket on 'Jai Shri Ram' row,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697358359742_597.jpg?,"TMC MP Saket Gokhale shared a video of fans chanting 'Jai Shri Ram' while Pakistan batter Muhammad Rizwan was returning to the dressing room after getting out against India. Gokhale said, ""Massive doubts remain over whether we are qualified...enough to host any international sporting event. Not surprisingly, the stadium where this happened is called Narendra Modi Stadium."""
sports,"YouTuber IShowSpeed meets Jay Shah, tells him 'Virat Kohli is the GOAT'",,2023-10-15T08:49:35.000Z,"YouTuber IShowSpeed meets Jay Shah, tells him 'Virat Kohli is the GOAT'",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697352333033_350.jpg?,"American YouTuber IShowSpeed met BCCI Secretary Jay Shah during India-Pakistan ODI World Cup 2023 match at Narendra Modi Stadium in Ahmedabad. IShowSpeed posed for pictures with Shah. In a video, he was heard thanking Shah for hosting him. ""Virat Kohli is the GOAT,"" IShowSpeed was heard telling Shah."
sports,India-Pakistan match sets global streaming record with 3.5 crore viewers,,2023-10-15T08:32:06.000Z,India-Pakistan match sets global streaming record with 3.5 crore viewers,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697356859665_61.jpg?,"A new global streaming viewership record was set during India-Pakistan ODI World Cup 2023 match on Saturday. The match attracted record 3.5 crore concurrent viewers, surpassing previous record of 3.2 crore viewers during IPL final between Chennai Super Kings and Gujarat Titans. India defeated Pakistan by seven wickets, marking their biggest victory (by wickets) against Pakistan in ODI World Cups."
sports,"Policewoman slaps arguing spectator during India-Pak match, he tries to hit back; video surfaces",,2023-10-15T08:23:53.000Z,"Policewoman slaps arguing spectator during India-Pak match, he tries to hit back; video surfaces",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697357243991_466.jpg?,"A policewoman slapped a spectator in the stands during India-Pakistan match at the Narendra Modi Stadium in Ahmedabad. A video of the same has surfaced online, wherein the two can be seen being involved in an argument. The policewoman slapped the man after he appeared to mock her. The man then tried to hit her back."
sports,Who's the author: IOC Prez as he speaks AI-written lines in Mumbai,,2023-10-15T07:58:44.000Z,Who's the author: IOC Prez as he speaks AI-written lines in Mumbai,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697356396207_838.jpg?,"International Olympic Committee President Thomas Bach spoke AI-generated lines at IOC Session in Mumbai. The lines claimed Olympics will likely become more inclusive in future to feature wider range of sports and promote diversity and gender equality. ""This…analysis was…written by someone very intelligent…So it can't be me,"" Bach said, asking audience to guess the author of the AI-generated lines."
sports,Big question is will AI replace or support human referee: IOC Prez,,2023-10-15T07:32:25.000Z,Big question is will AI replace or support human referee: IOC Prez,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697354904606_422.jpg?,"During his opening speech at the International Olympic Committee (IOC) session in Mumbai, IOC President Thomas Bach said, ""AI has the potential to revolutionise judging and refereeing."" ""Gymnastics, figure skating...the most illustrious example of all: fencing. In all these and many other sports, the big question is: Will AI replace or support the human referee?"" he stated."
sports,Fans chant 'Jai Shri Ram' as Rizwan walks back after getting out during India-Pak match,,2023-10-15T07:25:44.000Z,Fans chant 'Jai Shri Ram' as Rizwan walks back after getting out during India-Pak match,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697351970708_31.jpg?,A video of fans chanting 'Jai Shri Ram' as Pakistan wicketkeeper-batter Muhammad Rizwan returned to the dressing room after getting out during the India-Pakistan match has gone viral. Rizwan had earlier dedicated his hundred and team's victory against Sri Lanka to Gaza. He was also seen offering namaz on field during a break in Pakistan vs Netherlands match in Hyderabad.
sports,Pic shows personalised cake for Team India to celebrate 8-0 WC record against Pakistan,,2023-10-15T07:21:02.000Z,Pic shows personalised cake for Team India to celebrate 8-0 WC record against Pakistan,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697353322201_260.jpg?,Team India celebrated their 8-0 ODI World Cup record against Pakistan by cutting a personalised cake at the team hotel in Ahmedabad. The cake had number '8' on top of it and it also comprised pictures of Team India players. India defeated Pakistan by seven wickets at the Narendra Modi Stadium in Ahmedabad.
sports,Paris Olympics to be last Olympic Games of pre-AI era: IOC Prez,,2023-10-15T07:16:36.000Z,Paris Olympics to be last Olympic Games of pre-AI era: IOC Prez,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697354535906_991.jpg?,"International Olympic Committee (IOC) President Thomas Bach, in his opening speech at the IOC session in Mumbai, said, ""The Olympic Games Paris 2024 will be the last Olympic Games of...pre-AI era."" ""At the latest by the time of the Olympic Games Los Angeles 2028, you will need far fewer people to produce and broadcast much higher quality content,"" he stated."
sports,"There are no losers in sports, only winners & learners: PM Modi",,2023-10-15T07:12:12.000Z,"There are no losers in sports, only winners & learners: PM Modi",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697352272614_235.jpg?,"Speaking at the inauguration of 141st International Olympic Committee (IOC) session in Mumbai, PM Narendra Modi said that ""there are no losers, only winners and learners in sports"". He further said, “Every year, India organises world’s largest cricket league. At present India is also organising cricket World Cup...India is eager to host the Olympics in the country."""
sports,"Told him 'It's not bat, it's my power: Rohit on viral pic of him showing off biceps to umpire",,2023-10-15T06:23:49.000Z,"Told him 'It's not bat, it's my power: Rohit on viral pic of him showing off biceps to umpire",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697350392014_236.jpg?,"Talking about the viral picture of him showing off biceps to umpire Marais Erasmus after smashing a six in their World Cup match against Pakistan, India captain Rohit Sharma said, ""He asked me how I hit such a long six."" Rohit added, ""He said, 'There must be something in your bat'. I told him, 'It's not bat, it's my power'."""
